year,"crop (paddy-0, wheat-1, jowar-2, bajra-3, arhar-4, onion-5)",population(million),demand per person(kg),produce(mmt)(7 0's),state,total demand(D*F)(7 0's) in mmt,agricultural area(thousand hectors),sufficient(yes-no)(G-E>0)
2021,0,129.8,24,3.5,MH,3.1152,410,0
2020,0,128.4,30,2.9,MH,3.852,371,0
2019,0,126.6,30,3.28,MH,3.798,293,0
2018,0,124,24,2.73,MH,2.976,261,0
2017,0,123.1,24,3.11,MH,2.9544,304,1
2021,1,129.8,28,1.9,MH,3.6344,303,0
2020,1,128.4,28,1.7,MH,3.5952,285,0
2019,1,126.6,24,1.6,MH,3.0384,270,0
2018,1,124,20,1.6,MH,2.48,274,0
2017,1,123.1,20,1.4,MH,2.462,262,0
2021,2,129.8,18,1.9,MH,2.3364,210,0
2020,2,128.4,18,2,MH,2.3112,193,0
2019,2,126.6,15,1.8,MH,1.899,237,0
2018,2,124,15,1.2,MH,1.86,243,0
2017,2,123.1,10,2.3,MH,1.231,346,1
2021,3,129.8,8,0.37,MH,1.0384,100,0
2020,3,128.4,11,0.8,MH,1.4124,123,0
2019,3,126.6,11,0.51,MH,1.3926,127,0
2018,3,124,9,0.33,MH,1.116,120,0
2017,3,123.1,8,0.66,MH,0.9848,138,0
2021,4,129.8,17,1.15,MH,2.2066,165,0
2020,4,128.4,17,0.76,MH,2.1828,156,0
2019,4,126.6,13,1.22,MH,1.6458,154,0
2018,4,124,12,1.17,MH,1.488,163,0
2017,4,123.1,10,1.25,MH,1.231,145,1
2021,5,129.8,18,1.8,MH,2.3364,350,1
2020,5,128.4,18,1.5,MH,2.3112,330,0
2019,5,126.6,13.27,1.4,MH,1.679982,325,0
2018,5,124,11.99,1.7,MH,1.48676,342,1
2017,5,123.1,10,0.9,MH,1.231,339,0
